d_estado,d_ciudad,concatenadociudadestado
Ciudad de México,Ciudad de México,"Ciudad de México,Ciudad de México"
Guanajuato,Abasolo,"Abasolo,Guanajuato"
Chiapas,Acala,"Acala,Chiapas"
Guanajuato,Acámbaro,"Acámbaro,Guanajuato"
Nayarit,Acaponeta,"Acaponeta,Nayarit"
Guerrero,Acapulco de Juárez,"Acapulco de Juárez,Guerrero"
Jalisco,Acatlán de Juárez,"Acatlán de Juárez,Jalisco"
Puebla,Acatlán de Osorio,"Acatlán de Osorio,Puebla"
Veracruz de Ignacio de la Llave,Acayucan,"Acayucan,Veracruz de Ignacio de la Llave"
Hidalgo,Actopan,"Actopan,Hidalgo"
Veracruz de Ignacio de la Llave,Agua Dulce,"Agua Dulce,Veracruz de Ignacio de la Llave"
Sonora,Agua Prieta,"Agua Prieta,Sonora"
Aguascalientes,Aguascalientes,"Aguascalientes,Aguascalientes"
Sinaloa,Ahome,"Ahome,Sinaloa"
Nayarit,Ahuacatlán,"Ahuacatlán,Nayarit"
Jalisco,Ahualulco de Mercado,"Ahualulco de Mercado,Jalisco"
Jalisco,Ajijic,"Ajijic,Jalisco"
Veracruz de Ignacio de la Llave,Álamo,"Álamo,Veracruz de Ignacio de la Llave"
Coahuila de Zaragoza,Allende,"Allende,Coahuila de Zaragoza"
México,Almoloya de Juárez,"Almoloya de Juárez,México"
Tamaulipas,Altamira,"Altamira,Tamaulipas"
Veracruz de Ignacio de la Llave,Altotonga,"Altotonga,Veracruz de Ignacio de la Llave"
Veracruz de Ignacio de la Llave,Alvarado,"Alvarado,Veracruz de Ignacio de la Llave"
México,Amatepec,"Amatepec,México"
Jalisco,Ameca,"Ameca,Jalisco"
Puebla,Amozoc,"Amozoc,Puebla"
Nuevo León,Anáhuac,"Anáhuac,Nuevo León"
Veracruz de Ignacio de la Llave,Ángel R. Cabada,"Ángel R. Cabada,Veracruz de Ignacio de la Llave"
Sinaloa,Angostura,"Angostura,Sinaloa"
Hidalgo,Apan,"Apan,Hidalgo"
Guanajuato,Apaseo el Alto,"Apaseo el Alto,Guanajuato"
Guanajuato,Apaseo el Grande,"Apaseo el Grande,Guanajuato"
Michoacán de Ocampo,Apatzingán de la Constitución,"Apatzingán de la Constitución,Michoacán de Ocampo"
Tlaxcala,Apizaco,"Apizaco,Tlaxcala"
Jalisco,Arandas,"Arandas,Jalisco"
